.hack//G.U. Returner | VIDEO_GAME
.hack//G.U. Trilogy | VIDEO_GAME
.hack//G.U. Trilogy: Parody Mode | VIDEO_GAME
.hack//GIFT | ORIGINAL
.hack//INTERMEZZO | ORIGINAL
.hack//Liminality | ORIGINAL
.hack//Quantum | ORIGINAL
.hack//Quantum: Kantamu Eizou Tokuten Sore Ike! Bokura no Chim Chim-chan!! | ORIGINAL
.hack//Roots | ORIGINAL
.hack//SIGN | ORIGINAL
.hack//Tasogare no Udewa Densetsu | MANGA
.hack//Tasogare no Udewa Densetsu - Offline de Aimashou | MANGA
.hack//The Movie: Sekai no Mukou ni | VIDEO_GAME
.hack//Unison | ORIGINAL
.hack//Versus: The Thanatos Report | VIDEO_GAME
0 Hao Sushe | ORIGINAL
0-sen Hayato | MANGA
009-1 | MANGA
009-1 Special | MANGA
00:08 | ORIGINAL
07-Ghost | MANGA
1 Cho | MANGA
1+2=Paradise | MANGA
1-Pound no Fukuin | MANGA
1/100 Rice Planting | ORIGINAL
1/100 SHIBUYA Crossing | ORIGINAL
1/100 TRAIN Station | ORIGINAL
100 Banme no Saru | OTHER
100% Pascal-sensei | MANGA
100% Renewable Energy | ORIGINAL
100-Nichikan Ikita Wani | MANGA
100-man no Inochi no Ue ni Ore wa Tatteiru | MANGA
100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season | MANGA
1000-mankai Hug Nanda | ORIGINAL
1000-nen Joou: Queen Millennia | MANGA
11 Piki no Neko | OTHER
11 Piki no Neko to Ahoudori | OTHER
11-gatsu Umare no Otokonoko no Tame ni. | ORIGINAL
11-nin Iru! | MANGA
112 Sabsections of Skyline | ORIGINAL
11:08 | ORIGINAL
11eyes | VISUAL_NOVEL
11eyes OVA | VISUAL_NOVEL
11eyes Picture Drama | VISUAL_NOVEL
12 Senshi Bakuretsu Eto Ranger | ORIGINAL
12 Zhi Wenzi He 5 Ge Ren | ORIGINAL
12-sai. | MANGA
12-sai.: Chiccha na Mune no Tokimeki | MANGA
12-sai.: Chiccha na Mune no Tokimeki 2 | MANGA
123 | ORIGINAL
15 Bishoujo Hyouryuuki | ORIGINAL
15 Step | ORIGINAL
15-sai, Kyou kara Dousei Hajimemasu. | MANGA
15th Anniversary Short Animation: Battle Spirits Shounen Toppa Bashin x Saikyou Ginga Ultimate Zero Battle Spirits | ORIGINAL
16bit Sensation: ANOTHER LAYER | ORIGINAL
180-byou de Kimi no Mimi wo Shiawase ni Dekiru ka? | ORIGINAL
18if | ORIGINAL
1989 | ORIGINAL
1LDK+JK Ikinari Doukyo? Micchaku!? Hatsu Ecchi!!? | MANGA
1year | ORIGINAL
2.43 Mini Anime | OTHER
2.43 Mini Anime: Volleyball Kouza-hen | OTHER
2.43 Mini Anime: inside story | ORIGINAL
